Table 1
Rank,Year,Acquirer Name,Target Name,Value (in bil. USD),Value (in bil. EUR),Ticker,Date of Acquisition,,,,,,,,,,,,,,,,,,
4,2019,United Technologies Corp,Raytheon Co,"86,831,159","76,631,537",RTN,,,,,,,,,,,,,,,,,,,
7,2019,Bristol-Myers Squibb Co,Celgene Corp,"79,376,825","69,677,691",CELG,,,,,,,,,,,,,,,,,,,
19,2019,AbbVie Inc,Allergan PLC,"62,117,141","546,565",AGN,,,,,,,,,,,,,,,,,,,
12,2018,Cigna Corp,Express Scripts Holding Co,"6,977,018","5,621,188",ESRX,,,,,,,,,,,,,,,,,,,
5,2017,Walt Disney Co,21st Century Fox Inc,"84,197,032","72,502,064",FOX,,,,,,,,,,,,,,,,,,,
14,2017,CVS Health Corp,Aetna Inc,"67,822,818","58,185,196",AET,,,,,,,,,,,,,,,,,,,
6,2016,AT&T Inc,Time Warner Inc,"7,940,646","72,942,774",TWX,,,,,,,,,,,,,,,,,,,
26,2016,Bayer AG,Monsanto Co,"56,598,044","49,749,681",MON,,,,,,,,,,,,,,,,,,,
39,2016,British American Tobacco PLC,Reynolds American Inc,"49,053,658","4,506,069",RAI,,,,,,,,,,,,,,,,,,,
16,2015,Dell Inc,EMC Corp,"65,999,778","51,380,827",EMC,,,,,,,,,,,,,,,,,,,
18,2015,The Dow Chemical Co,DuPont,"62,141,056","5,638,058",DD,,,,,,,,,,,,,,,,,,,
28,2015,Charter Communications Inc,Time Warner Cable Inc,"55,637,581","51,125,373",TWC,,,,,,,,,,,,,,,,,,,
44,2015,Hj Heinz Co,Kraft Foods Group Inc,"46,105,535","42,218,838",MDLZ,,,,,,,,,,,,,,,,,,,
13,2014,Actavis PLC,Allergan Inc,"68,445,401","49,616,071",AGN,,,,,,,,,,,,,,,,,,,
38,2014,Shareholders,Paypal Holdings Inc,"49,163,834","36,287,826",PYPL,,,,,,,,,,,,,,,,,,,
42,2014,AT&T Inc,DirecTV Inc,"48,082,294","34,667,334",DTV,,,,,,,,,,,,,,,,,,,
46,2014,Medtronic Inc,Covidien PLC,"42,729,867","31,560,275",COV,,,,,,,,,,,,,,,,,,,
2,2013,Verizon Communications Inc,Verizon Wireless Inc,"13,029,832","10,046,001",VZ,,,,,,,,,,,,,,,,,,,
29,2011,Shareholders,Abbott Laboratories-Research,"55,513,051","40,352,437",ABT,,,,,,,,,,,,,,,,,,,
24,2010,Preferred Shareholders,American International Group,"58,977,172","43,271,551",AIG,,,,,,,,,,,,,,,,,,,
15,2009,Pfizer Inc,Wyeth,"67,285,695","51,877,271",WYE,,,,,,,,,,,,,,,,,,,
30,2009,Vehicle Acq Holdings LLC,General Motors-Cert Assets,"55,279,546","39,054,999",GM,,,,,,,,,,,,,,,,,,,
34,2008,InBev NV,Anheuser-Busch Cos Inc,"52,177,662","39,727,028",BUD,,,,,,,,,,,,,,,,,,,
40,2008,Bank of America Corp,Merrill Lynch & Co Inc,"48,766,153","34,063,158",MER,,,,,,,,,,,,,,,,,,,
