,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,acquired
RTN,,0.002554094,-0.005143242,0.005991206,-0.007012151,0.000338573,-0.010782323,-0.034165893,-0.033451417,0.003665113,0.002973551,0.019036721,-0.014291548,-0.007560066,-0.003391422,0.00047118,0.001465201,-0.048437663,-0.030695733,0.00209608,-0.048278591,0.028452628,0.010973778,0.033078154,0.00398164,0.008317268,0.00950508,0.013636364,-0.003523382,0.007285974,-0.031858313,-0.007745976,-0.000221459,0.014508805,-0.006113537,-0.030975395,-0.013715711,-0.009998851,0.007545856,0.006049084,-0.016950123,0.011300751,-0.000172801,0.010139417,-0.014086917,-0.041591948,0.015089329,-0.018254251,0.036945067,-0.00105134,0.004560603,0.003608637,-0.014962594,-0.023020312,-0.006628902,-0.015226887,-0.026982074,-0.040709085,-0.032008976,0.019226836,0.027292796,-0.004232598,0.002811928,0.005151614,-0.028221098,0.026370252,0.010537271,0.011907827,0.004579861,0.010447667,-0.002569244,0.008418672,-0.002305152,-0.004745847,0.021709123,0.015782363,-0.010277492,0.00910146,0.006779661,0.007756133,0.00620488,0.015297954,0.001343223,-0.039076169,0.007283321,0.052362015,0.00761523,-0.005171042,0.005769121,-0.000908678,0.010857208,0.018500815,-0.000993816,0.001050072,0.01921272,5.42E-05,0.014462138,-0.010198089,0.00663502,-0.001929157,-0.005422819,0.000647808,0.006150194,-0.001662198,-0.013373436,-0.005879151,-0.005640127,-0.007544468,0.002996338,0.007634432,-0.011913912,0.0090015,-0.007379261,-0.012760055,0.012812588,-0.000332908,-0.000832547,0.010609932,-0.010663442,0.003500194,0.001605581,-0.006025095,0.006339673,0.006189213,0.014718805,0.005683048,-0.045422744,-0.002367931,0.015145521,0.011133998,-0.014259759,-0.002457551,0.016013438,0.016257026,-0.008947454,-0.002188663,-0.009212547,0.010017711,5.48E-05,0.027835616,-0.011355155,-0.043569695,0.000338276,-0.011272051,0.012312603,-0.007038685,0.003969604,0.012765477,0.007306191,-0.011848735,0.002577464,0.005924104,0.001388966,-0.009098979,-0.004031355,-0.00337306,0.012184116,-0.013207757,0.020330943,0.010848508,-0.011498658,-0.004542181,0.001613711,-0.008055556,-0.005600672,-0.00625176,-0.010995239,0.00974212,0.016231555,0.018262035,0.007075084,0.012471408,,,,,1
FOX,,0.019387755,0.026526527,-0.003900536,-0.032060695,-0.049304678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CELG,,-0.009774109,-0.044746655,0.009529277,-0.011713863,-0.01726122,0.017447307,-0.026700426,-0.017027315,-0.003969686,-0.005072464,0.026219956,0.009108115,-0.039034111,-0.00756282,-0.016961652,-0.020130033,-0.046956744,0.025706253,0.013705783,0.024208087,-0.011440785,-0.010174234,0.001798792,0.009106066,0.004575496,-0.004934211,-0.0086459,0.010516865,0,0.003426831,-0.009233494,-0.010979191,-0.00116174,0.013052468,-0.003954586,-0.004482582,0.021999228,0.004154079,-0.007897706,-0.004296184,-0.003426396,-0.002801477,-0.013535947,-0.00763754,0.036003131,0.001133216,-0.01081625,0.022123331,0.025500684,0.017103348,0.008467501,-0.014545885,0.02724109,0.001051402,-0.005368188,0.007274434,-0.000815376,-0.005129401,-0.00281228,-0.000235018,0.024565115,0.005735918,0.007300103,-0.021288642,0.028693741,0.013271848,0.001110001,0.003991573,-0.001214798,-0.013268465,0.011990139,0.010297863,0.007452872,-0.007724108,0.00833242,0.008046102,-0.037104951,0.009857735,0.002440377,0.005643466,0.003521127,-0.006140351,-0.008826125,0.001001781,0.017680418,0.009943182,0.018500487,0.001274697,0.002015701,-0.030068819,0.006331187,-0.024948476,0.006341084,-0.014481539,-0.021536736,-0.004929497,0.02235023,-0.017692134,0.000344155,0.004701835,-0.002625271,0.010528725,-0.006568516,-0.001823985,0.000114207,0.008336188,0.010758777,0.002689076,0.004358029,0.022029372,0.000108861,-0.035593774,-0.015011287,0.002520912,-0.008343811,-0.029160904,-0.041790336,0.023169372,-0.009082102,0.02994012,0,-0.015780731,-0.006509946,-0.021842009,-0.010420543,-0.063432368,-0.026636327,-0.003712871,-0.014078675,0.012739745,-0.010229472,0.056005587,-0.018780585,0.001078312,0.011040797,0.00492742,-0.003047972,-0.016084009,-0.040529587,-0.010982822,-0.00868451,0.005026569,-0.004715633,-0.003589375,-0.038184438,0.011835206,-0.013177376,0.020255064,0.0175,0.025870791,-0.01155255,0.02936146,0.016615896,-0.012939254,0.004553608,-0.037362637,-0.019977169,0.011793826,0.020290689,-0.016361072,-0.022082019,-0.001026393,-0.022016733,-0.015758667,-0.016163464,-0.055796652,-0.028069599,0.055564938,0.00496,-0.006049992,0.026589781,0.039787798,0.206932773,,,1
AGN,,0.01601149,-0.01104712,0.003388215,-0.009972036,5.33E-05,-0.046576072,0.007713375,-0.017139054,-0.019187359,-0.075546605,-0.016555673,0.040820201,-0.008573513,0.014842073,-0.001571282,0.02663277,-0.001768764,-0.022384974,-0.009968584,-0.007444926,-0.030310483,0.010461577,-0.012423919,-0.008577419,-0.016918739,0.006062581,-0.004665328,-0.002929497,-0.007377905,0.017891206,0.003166397,0.008760629,0.009514687,-0.025871339,0.00987013,-0.019933128,-0.000262433,-0.017653235,0.01723562,-0.009259867,-0.017433382,0.000674627,-0.010584508,-0.069501226,-0.006810193,-0.03074541,-0.012475278,0.027653674,-0.005546811,0.000979875,0.006475904,0.016609307,0.001398293,0.04776953,-0.000911833,0.02218478,-0.006868132,0.01175657,0.020232399,0,0.022980035,0.001309843,0.024004186,0.023377619,-0.015104232,0.018948035,-0.020026121,0.019610332,-0.01226192,-0.085512635,-0.008475744,0.000625478,0.000625087,-0.03845353,-0.0037537,-0.007463227,-0.033143525,-0.002642706,0.020062079,0.030132106,0.011023055,-0.01182926,0.002884546,-0.007981592,0.017178892,-0.026580204,0.000732064,-0.003657644,0.003010279,-0.004904473,0.01302045,0.021857527,-0.011370097,0.007475561,-0.018906963,0.039924369,0.014405594,0.010892045,0.007637752,0.018340552,-0.004452715,0.009679573,-0.002710744,0.021612304,-0.002790396,-0.000911043,-0.027551619,-0.019825854,0.020841875,-0.014525738,-0.00244532,-0.003064143,0.008469367,-0.009414155,-0.003760427,0.024981127,0.001941748,0.005680299,-0.020267127,-0.009088443,-0.007255305,-0.000620518,-0.009451535,0.012745508,-0.036998831,0.001999572,-0.000356354,0.013617567,-0.01765492,0.013103251,0.027563785,0.006259027,0.004784689,-0.011360544,-0.007431363,0.010814558,0.013373568,-0.043313481,-0.009267119,0.001499464,-0.000712962,-0.036743721,0.007036516,0.005516328,0.02435813,0.001142531,-0.010128388,-0.002161695,0.007437897,-0.010536879,-0.018328021,-0.03025607,-0.043680085,-0.025861383,-0.004165986,0.010007382,0.044505807,-0.016406189,-0.011462451,0.016633347,-0.004090301,-0.029697496,-0.004721205,-0.010386849,-0.041983471,-0.001639061,0.042426337,0.062334218,0.020755306,-7.64E-05,-0.009479398,0.253608088,,,,1
DD,,-0.005446809,-0.000171145,-0.008901061,-0.008290155,-0.003483107,0.006641035,0.007986111,-0.004478126,-0.006228374,0.006093315,-0.002076484,0.010230623,0.000514933,-0.008406245,-0.008131488,0.006628292,-0.010743372,0.005079699,-0.004182642,0.043752188,0.009557344,0.02009633,-0.001790948,-0.018920241,-0.008645054,0.011235955,-0.007296849,0.005846976,-0.003155622,-0.003832056,-0.001003512,0.008873263,0.015433123,0.00604674,0.00259909,-0.010045366,0.00507365,-0.002442599,-0.000652955,0.040019601,-0.004711795,0.002840461,-0.01007081,-0.010332221,0.019274012,-0.001733375,-0.001420679,0.003951944,-0.005668399,0.002058591,0.004108723,0.004721435,0.004229323,-0.006707222,0.011934673,-0.009000621,0.002662073,0.007340309,-0.022015504,-0.004597337,0.016563147,-0.011749961,0.014901712,0.015307716,-0.008923077,-0.003725551,-0.009971954,-0.007554297,0.002220108,0.005063291,0.001416877,-0.006602735,0.001266023,-0.012328118,-0.009121459,-0.013888889,0.010972814,-0.004049895,0.001138582,0.006336312,0.003551824,0.010617761,0.03167781,-0.007406264,-0.017721125,-0.006171863,-0.004458599,0,-0.012955854,-0.0046994,0.02718984,-0.011412268,-0.008658009,-0.001940805,0.002430724,0.002909796,0.005802708,-0.001602564,-0.033707865,0.006312292,0.01172004,-0.005057921,-0.003279764,0.011023363,-0.013018714,0.006760099,-0.002784147,0.017572672,0.012911556,0.004620778,0.002537669,0.008226546,0.003922799,-0.000156299,0.012036892,-0.011275873,0.019528199,-0.011186025,-0.006663567,0.004524181,0.0128902,-0.001839926,-0.021812596,0.002355528,-0.005639981,0.001575548,-0.007550731,0.00253606,-0.008537549,0.005740711,0.013794197,-0.008132624,0.002207506,0.005191945,0.009860698,0.000464972,0.02680093,-0.01010863,0.009602195,-0.001811594,-0.005595886,0.015513308,-0.005691179,-0.003765627,0.001209555,0.009513742,-0.006432311,-0.004817826,-0.006354009,-0.021924482,0.007004981,-0.006028753,-0.013530327,0.010720479,-0.003587584,-0.007357545,0.001419334,-0.006141732,0.002376802,0.002371167,0.0041003,0.004240616,-0.011886143,0.003482115,0.007255521,0.014406514,-0.003087373,-0.003561474,0.002952603,0.002014255,-0.006958404,0.010588602,0.026964561,,,1
MDLZ,,0.008600469,0.010335917,-0.004347826,0.001798099,-0.00025641,-0.005898948,0.00619195,0.005128205,-0.005612245,-0.002308876,-0.005656981,-0.006723558,0.00234314,-0.006753247,0.008368201,-0.011670124,0.000524797,-0.023603462,-0.015041633,-0.017725661,-0.000555247,0.016111111,0.019682887,0.00536193,0.002133333,0.001330495,0.00345469,-0.011122881,-0.008569898,-0.018638574,0.012661712,-0.014949715,-0.006898455,0.03139761,0.012661638,-0.009843043,-0.009403546,-0.006509357,-0.002184002,-0.000273598,0.010946907,0.002165674,0.003511615,0.011843876,-0.017291833,-0.009745533,-0.013668671,-0.011363636,0.001962433,-0.013989927,0.014755959,0.008389262,-0.001109262,0.006662965,-0.00965251,-0.005569479,0.002800336,0.025970399,0.00653239,-0.005408329,0.010059815,-0.005652759,0.001353546,-0.000540687,0.000540979,0.000540687,-0.009456904,0.001636661,0.005991285,-0.001353546,-0.006776904,-0.005458515,0.001920966,-0.035332786,0.005678592,-0.025974026,-0.004637681,0.019219569,-0.014,0.005795422,-0.010083549,0.019208382,-0.01027984,0.002308136,0.016119747,-0.008215297,0.022850614,-0.020385367,0.013397948,0.026722925,-0.011232877,0.005818786,0.009090909,0.01010101,0,0.010540541,-0.000267451,0.000535045,-0.004010695,0.00590604,0.002135041,-0.006391478,-0.009112838,0.000540979,-0.012435793,0.008212428,-0.000543036,0.000271665,-0.000543183,0,0.051630435,-0.008527132,0.007297368,-0.000776197,-0.007767996,0.003392484,0.013784135,0.011800924,-0.002789047,-0.000508518,0,0.018824727,0.009987516,-0.011124845,0.00625,0.010186335,-0.008607969,-0.003473084,-0.005725666,0.005007511,0.008221226,0.027674821,-0.021639817,0.002703367,0.005637255,-0.01486717,-0.009896091,0.000749625,0.004244694,0.003729488,-0.000247709,0.002725471,-0.008895478,0.015706806,0.001227295,0.001470949,0.004651163,0.000243665,0.001218027,-0.000486618,0,0.000730282,-0.006567745,0.007345739,0.011424404,-0.001441961,,,,,,,,,,,,,,,,,,,,1
ACM,,-0.002633311,0.002970297,-0.002303389,0,0.005936675,-0.007868852,-0.007931262,0.001998668,-0.02393617,0.003746594,0.001696641,-0.012533875,0.012349914,0.005421891,0.032692956,-0.00424282,0.001311046,0.014075286,0.0087153,0.00608,-0.019083969,0.010051881,0.01187801,0.014911168,0.004688965,0.007156192,0.004016064,0.008923077,0.000609942,0.02316367,0.006851355,-0.024852071,0.005764563,0.002111614,0.020469597,-0.012684366,-0.010755901,0.015403201,0.001784652,-0.01692399,0.019027484,0.003556609,-0.003544005,-0.023710729,0.008196721,-0.000903342,0.00331525,-0.013517573,-0.00274056,0.007328244,-0.021521673,-0.022304833,0,-0.010139417,-0.000640205,0.006726457,0.014953866,0.013479624,0.02598206,0.003617727,-0.003304296,0.008740205,-0.00059755,-0.000597907,-0.006880048,0.006626506,-0.000598444,0.052994012,0.018481661,0.020100503,0.005199781,-0.003539341,-0.001639344,0.001368363,0.007652364,0.014917277,0.011491181,-0.001849406,-0.010322922,0.001872158,-0.004538174,-0.009117726,0.00135318,-0.005405405,-0.00326087,0.018811341,-0.000267594,0,-0.01124197,-0.011911207,0.000273973,-0.013420981,0.011660189,0.011525796,-0.005697233,0.00627558,-0.005422993,0.002181025,-0.02203482,-0.028650904,-0.01489118,-0.027906977,-0.001196172,0.002095808,0.028981177,-0.015389082,-0.02034798,0.010836845,-0.032757594,-0.001231527,0.01541307,0.030358227,-0.005598114,0.002074074,-0.006505027,-0.005952381,0.008982036,-0.015430267,0.013863773,0.045778835,0.008527572,-0.01578354,0.03465063,0.026293939,0.012135922,0.018918199,-0.006276151,0.010263158,-0.009377442,-0.006047857,0.008994709,0.007603566,-0.00312256,-0.011485252,-0.008185899,0.001597444,-0.010898458,0.007256114,-0.000800427,-0.004272363,0.007240547,-0.022896699,-0.016893733,0.00886918,0.015384615,-0.004599567,-0.013318837,0.008264463,0.006010929,0.009234112,0.062970936,0.015189873,0.011221945,0.013070284,-0.000486855,-0.000730638,-0.002193517,-0.002686859,-0.005878031,-0.005420054,0.004706465,0.008382643,-0.000244499,-0.021521154,0.021494626,0.01810619,0.014419611,-0.005212035,0.005715647,0.004972768,0.013195099,0.00255814,-0.020180932,0.030066288,-0.007354631,0
AA,,0.033430233,0.018987342,-0.037612146,-0.001792757,0.028735632,-0.000698324,0.005939902,0.021535255,-0.043862632,-0.003556188,-0.017130621,0.013435004,0.002866356,0.006073598,0.046164773,-0.031228785,0.005255781,0.02091321,0.00887675,0.003722504,-0.018880647,0.001718213,-0.022641509,-0.007020007,-0.019441499,-0.000720981,0,-0.038239538,0.055513878,0.013859275,-0.014370838,-0.035917496,-0.007377352,-0.002229654,-0.006331471,-0.025487256,-0.002692308,0.028924026,-0.02886057,-0.02817445,-0.019459889,0.004860267,0.009270455,-0.019968051,0.019152404,0,-0.00119952,-0.019215372,-0.020816327,0.031263026,-0.020210186,-0.041254125,-0.00989673,-0.019991308,-0.003991131,-0.037399822,-0.019888992,0.015101463,0.017666202,-0.023755139,0.009358914,-0.006026889,0.006529851,0.004170528,-0.023073373,0.029759093,-0.003211009,-0.003681546,0.041108545,-0.00621118,0.004910714,0.003998223,-0.016814159,0.014851485,0.029268293,-0.00344679,0.012105491,-0.020931226,0.016579407,-0.025751073,0.018942731,-0.035884133,-0.003587444,0.017551755,-0.004865104,0.004444444,0.025221239,0.006473889,-0.00728988,0.011231102,-0.012815036,-0.00562527,-0.001305483,0.026579521,-0.030135823,0.012253829,-0.000432339,-0.003460208,-0.023871528,-0.051578479,-0.029067042,-0.027040077,-0.012903226,-0.015585721,0.027579162,-0.045228628,-0.035918792,0.031857451,-0.084249084,-0.033142857,0.035460993,0.040525114,0.004388371,0.008738394,-0.022739578,-0.031578947,-0.017734554,-0.025626092,0.016736402,0.046443269,0.007303371,-0.017847183,0.038046564,0.073304158,-0.025993884,0.062271062,0.026108374,0.06481037,0.017132552,0.01462766,-0.014416776,-0.023492908,-0.016341353,0.012459622,-0.010938924,-0.01843318,-0.031924883,0.042677013,-0.02372093,-0.018103859,-0.026200873,-0.010463378,-0.028197382,-0.012953368,0.020997375,-0.010282776,-0.039480519,-0.004326663,0.015209125,0.031567683,-0.005705394,0.015127804,-0.015416238,0.059498956,0.061083744,-0.049675023,0.012701514,0.026531597,-0.02537594,0.013500482,0.02378687,0.003717472,-0.014351852,-0.023485204,0.051948052,0.047553727,-0.0139677,-0.030544489,0.030136986,-0.001329787,-0.013759432,-0.00180018,-0.043282236,-0.010838831,-0.004764173,0
APLE,,0.001218027,0,0.00243309,-0.001820388,-0.001823708,-0.003045067,-0.002443494,0.004286589,-0.017073171,-0.006823821,0.018738289,0.003678725,0.007330483,-0.011522135,0.01595092,-0.003019324,0.003634161,0.005431503,0.004201681,-0.000597729,-0.020334928,0.012210012,-0.002412545,0.001813785,-0.006035003,0,-0.007893139,-0.003059976,-0.01043585,0.019851117,0.000608273,-0.00668693,0.006731946,-0.002431611,0.002437538,-0.008510638,0.005518087,0.006707317,0.002422774,-0.005438066,-0.015188335,0.010487353,0.008547009,-0.004237288,0.004863222,0.005444646,-0.003610108,-0.009661836,-0.014634146,0.01299505,-0.009773977,0.001233806,-0.001232286,-0.006785935,-0.006832298,-0.003126954,-0.031367629,0.010362694,0.005769231,0,-0.007648184,0.007064868,0.008290816,0.006957622,-0.013190955,0.010184596,-0.006931317,0.012055838,0.010031348,-0.006828057,0.000625,-0.011242973,-0.006948831,-0.001272265,-0.020382166,0.022756827,0.008264463,-0.013240858,0.004472843,0.006361323,-0.000632111,0.003162555,-0.002522068,0.009481669,-0.018159048,0.00255102,0.003180662,0.001268231,-0.006333122,-0.005736138,-0.011538462,0,0.012970169,0.003201024,-0.006381621,0.004495825,0.003196931,0.007648184,-0.006325111,-0.032463399,-0.003947368,-0.019154557,0.021548822,0.000659196,0.02173913,-0.007736944,0.015594542,0.007677543,-0.015873016,-0.001935484,0.016806723,0.006993007,-0.007575758,-0.00826972,0.011545863,-0.017121116,0.006451613,-0.006410256,0.012258065,0.008922881,0.006317119,-0.013810421,0.016549968,0.010018785,-0.000619963,0.01426799,0.009174312,0,-0.01030303,0.00061237,0,-0.005507956,0.002461538,0.004910988,0.000610874,-0.004273504,-0.001839362,0.003071253,0.003674219,0.003660769,0.007902736,-0.012062726,-0.014652015,0,0.002478315,0.004326329,-0.011076923,-0.004355943,0,0.011875,-0.009264978,0.003740648,0.002484472,0.004337051,0.004318322,0.013513514,0.006666667,0.003010235,-0.010804322,-0.004854369,-0.001219512,-0.000610501,0.002443494,0.004265692,0.003033981,0.006049607,0.003006615,-0.007194245,-0.009057971,-0.002437538,0,-0.014050092,-0.006195787,0.008104738,-0.005565863,0
BCS,,0.009489917,0.017626322,0.004618938,0.008045977,0,0.007981756,-0.027149321,-0.026744186,-0.023894863,-0.004895961,-0.001230012,0.013546798,-0.025516403,-0.002493766,0.03875,0.009626955,0.023837902,-0.003492433,-0.012850467,-0.001183432,-0.007109005,0.007159905,0.009478673,0.017605634,0.008073818,0.001144165,0.012571429,-0.01241535,-0.005714286,-0.012643678,-0.009313155,-0.028202115,0.008464329,0.023980815,0.00234192,-0.009345794,0.007075472,0.008196721,-0.013937282,-0.024734982,-0.002415459,-0.006053269,0.008526188,-0.036231884,0.016290727,0.006165228,0.004901961,-0.02195122,-0.009975062,0.006297229,-0.032540676,-0.019404916,0.006596306,-0.007863696,0.010568032,-0.014379085,-0.00928382,0.008032129,0.038512616,-0.014066496,-0.007782101,0.00130719,0.005221932,0.001298701,-0.016861219,0,-0.007915567,-0.002659574,0.013333333,0.006578947,0,-0.014379085,-0.00265252,-0.010638298,0.01344086,0.00928382,0,0.009198423,0.002604167,0.006493506,0.011612903,-0.005102041,-0.006410256,0.003870968,0.016709512,-0.00505689,-0.008894536,0,-0.011538462,0.011673152,-0.003846154,0.006435006,0.011508951,0.008849558,-0.018796992,0.005108557,-0.01270648,-0.018018018,-0.01965924,-0.016042781,0.004076087,-0.037889039,0.011251758,-0.002781641,-0.020920502,-0.011396011,-0.020172911,0,-0.026470588,-0.004531722,0.02276176,0.008902077,-0.016176471,0.002989537,0.011922504,-0.016200295,0.001497006,-0.004484305,-0.006006006,0.009063444,-0.005988024,-0.003012048,0.010574018,0.022421525,0.004385965,0.013100437,0.050287356,0.006839945,0,0.055706522,-0.020592021,-0.017082786,-0.016042781,0.010869565,0.008064516,-0.013333333,-0.02027027,0.00137931,0.006887052,0.008207934,-0.004070556,-0.010899183,-0.02892562,-0.002836879,0.011379801,-0.007032349,-0.008498584,0.002857143,0.055555556,0.08097166,-0.014981273,0.058301648,0,0.003592814,0.011933174,0.004716981,-0.011737089,0.013064133,-0.007033998,0.025974026,0.002301496,0.003444317,-0.004576659,-0.008045977,0.004634994,0.003460208,-0.001149425,-0.009205984,0.004645761,-0.015028902,0.031690141,0.001137656,-0.010227273,0.002296211,0.005727377,0
